1872 3
163 156 155
940 102 143
149 164 150
165 79 96
147 133 70
157 159 150
166 145 146
154 163 148
156 141 143
167 113 106
168 169 95
153 140 127
121 170 71
149 166 146
82 147 70
171 140 153
172 153 151
107 147 108
128 153 127
173 144 174
149 135 166
154 133 162
117 123 942
166 135 125
171 153 172
176 163 154
144 137 174
121 148 170
90 177 178
176 141 163
164 157 150
941 180 146
177 171 178
180 149 146
116 119 124
138 943 139
941 146 139
148 163 155
953 141 176
953 176 117
163 141 156
129 183 94
171 172 178
953 117 942
162 147 107
943 941 139
944 104 183
945 946 937
947 948 129
948 944 183
129 948 183
949 957 950
189 190 87
180 164 149
951 943 138
191 955 83
114 954 119
77 156 143
142 194 952
953 940 141
195 142 182
138 144 132
75 156 77
195 182 175
196 195 173
154 162 118
195 194 142
90 178 100
196 194 195
166 125 197
198 177 90
173 195 175
162 120 118
196 198 194
197 125 140
172 151 84
199 198 196
200 177 199
199 177 198
71 170 97
200 171 177
200 140 171
117 176 118
197 140 200
166 197 145
145 197 201
197 200 201
145 201 137
196 173 174
137 201 174
200 199 201
176 154 118
119 954 124
945 937 124
201 199 174
199 196 174
144 173 134
132 144 134
55 54 99
52 56 69
170 148 155
57 55 79
162 107 120
54 63 202
59 57 165
51 50 72
173 175 134
175 939 134
65 64 115
63 62 203
954 945 124
55 99 79
99 54 202
165 57 79
63 203 202
100 101 91
204 167 109
205 168 206
203 206 207
61 59 208
60 51 105
82 69 209
152 128 80
126 136 96
95 169 85
167 106 109
168 95 206
206 210 207
160 93 92
191 83 85
100 178 86
69 56 209
87 190 92
947 129 101
83 955 101
65 115 209
136 159 211
155 75 88
59 165 208
51 72 105
952 194 89
94 183 936
198 90 89
52 69 81
172 84 86
189 87 74
72 50 81
950 957 76
161 47 212
158 46 213
47 60 212
46 61 213
143 102 111
97 170 88
151 152 98
159 208 211
49 204 214
48 205 215
62 48 215
64 49 214
56 65 209
50 52 81
169 191 85
152 210 98
102 103 111
78 126 96
178 172 86
128 78 80
955 947 101
190 160 92
194 198 89
206 95 210
183 104 936
170 155 88
956 189 74
956 74 76
957 956 76
93 105 73
71 97 73
90 100 91
204 109 214
205 206 215
152 80 217
96 136 211
159 158 213
93 161 212
206 203 215
109 115 214
210 95 98
129 94 91
108 82 110
60 105 212
61 208 213
84 151 98
203 62 215
115 64 214
77 143 111
209 115 110
99 202 217
202 203 207
105 93 212
208 159 213
207 152 217
210 152 207
103 950 111
208 165 211
202 207 217
82 209 110
165 96 211
80 99 217
218 219 973
218 221 219
964 958 959
958 964 225
219 960 973
227 228 224
961 230 231
232 227 224
233 234 235
234 233 236
237 961 231
233 238 236
230 961 220
239 240 241
242 227 243
244 245 221
246 238 247
248 962 250
247 975 958
963 971 964
234 254 241
255 972 226
227 257 228
258 259 243
237 260 248
258 962 248
237 248 250
239 244 240
240 244 221
261 254 234
246 262 238
263 246 247
242 257 227
264 259 258
260 264 248
264 258 248
218 240 221
247 238 975
258 965 962
266 218 229
254 239 241
257 267 228
259 242 243
268 260 237
241 240 266
258 243 965
249 265 233
266 240 218
269 222 224
238 233 977
961 237 966
272 263 225
247 958 225
967 970 269
968 969 219
969 960 219
970 222 269
263 247 225
275 276 230
261 234 236
238 262 236
249 233 235
268 237 231
277 967 278
267 277 278
245 279 280
971 281 282
281 272 282
279 968 280
243 227 283
234 241 284
285 275 286
972 285 286
230 276 231
235 234 284
227 232 283
229 218 973
272 225 282
968 219 280
967 269 278
262 261 236
276 268 231
974 249 235
958 975 976
226 972 286
964 971 282
221 245 280
228 267 278
975 238 977
975 977 978
237 250 966
271 974 284
965 243 283
233 265 977
270 965 283
241 266 284
266 229 271
266 271 284
225 964 282
219 221 280
269 228 278
226 230 220
230 226 286
275 230 286
228 269 224
223 232 224
974 235 284
232 251 283
287 288 996
287 290 288
990 979 980
979 990 294
288 981 996
296 297 982
985 299 300
995 983 984
302 303 304
303 302 305
306 985 300
302 307 305
299 985 289
308 309 310
986 983 312
313 314 290
315 307 987
317 988 319
987 320 292
989 273 295
321 322 990
303 323 310
296 324 297
325 326 312
306 327 317
325 988 317
306 317 319
308 313 309
309 313 290
328 323 303
315 329 307
330 991 316
311 324 296
331 326 325
327 331 317
331 325 317
287 309 290
987 307 320
325 992 988
333 287 298
323 308 310
324 334 297
326 986 312
335 327 306
310 309 333
325 312 992
318 332 302
333 309 287
336 291 982
307 302 337
985 306 993
339 330 294
316 979 294
253 252 288
340 994 336
252 981 288
994 291 336
330 316 294
341 342 299
328 303 305
307 329 305
318 302 304
335 306 300
343 340 344
334 343 344
314 281 345
281 253 345
322 346 347
346 339 347
312 983 998
303 310 349
277 341 350
273 277 350
299 342 300
304 303 349
983 995 998
298 287 996
339 294 347
253 288 345
340 336 344
329 328 305
342 335 300
997 318 304
292 320 301
295 273 350
990 322 347
290 314 345
297 334 344
320 307 337
320 337 348
306 319 993
338 997 349
992 312 998
302 332 337
337 332 348
310 333 349
333 298 338
333 338 349
294 990 347
288 290 345
336 297 344
295 299 289
299 295 350
341 299 350
297 336 982
292 301 293
997 304 349
301 320 348
351 352 1010
351 354 352
355 356 999
356 355 358
352 1000 1010
360 361 357
1001 363 364
365 360 357
366 367 368
367 366 369
370 1001 364
366 371 369
363 1001 353
372 373 374
375 360 376
377 378 354
379 371 380
381 1002 383
380 1012 356
1003 274 355
367 385 374
386 1004 1000
360 388 361
389 390 376
370 391 381
389 1002 381
370 381 383
372 377 373
373 377 354
392 385 367
379 393 371
394 379 380
375 388 360
395 390 389
391 395 381
395 389 381
351 373 354
380 371 1012
389 1005 1002
397 351 362
385 372 374
388 398 361
390 375 376
399 391 370
374 373 397
389 376 1005
382 396 366
397 373 351
1006 1007 357
371 366 401
1001 370 1008
403 394 358
380 356 358
972 255 1009
404 386 352
386 1000 352
1003 355 400
394 380 358
405 406 363
392 367 369
371 393 369
382 366 368
399 370 364
285 256 407
398 285 407
378 408 409
274 279 410
279 403 410
408 404 409
376 360 411
367 374 412
413 405 414
387 413 414
363 406 364
368 367 412
360 365 411
362 351 1010
403 358 410
404 352 409
256 1006 407
393 392 369
406 399 364
1011 382 368
356 1012 1014
359 387 414
355 274 410
354 378 409
361 398 407
1012 371 401
1012 401 1013
370 383 1008
402 1011 412
1005 376 411
366 396 401
401 396 1013
374 397 412
397 362 402
397 402 412
358 355 410
352 354 409
1006 361 407
359 363 353
363 359 414
405 363 414
361 1006 357
356 1014 999
1011 368 412
365 384 411
415 416 417
418 419 420
421 422 423
424 1015 1021
1016 426 428
429 422 430
415 431 416
430 432 429
433 1017 1018
420 419 436
437 438 439
1018 440 433
441 442 443
444 445 446
181 436 447
448 449 450
1021 451 424
452 453 454
430 422 421
450 449 1030
417 456 457
418 458 419
459 460 461
440 462 463
311 1016 437
439 442 441
464 440 1018
1019 1023 467
423 422 468
469 461 470
467 471 1019
472 431 473
467 1035 475
1020 435 399
193 459 475
476 454 477
478 479 480
481 1021 427
436 419 447
180 415 417
264 479 478
390 482 483
437 439 324
428 484 1016
485 1022 1028
435 434 488
331 489 481
434 1042 491
491 1042 492
493 494 495
454 496 497
417 416 456
476 477 335
461 460 470
498 499 500
463 501 440
1016 484 437
502 431 472
1028 503 485
157 457 504
459 461 475
467 1023 1035
483 505 390
416 506 456
507 506 416
432 508 509
27 446 510
511 512 513
514 515 36
481 427 326
23 446 27
454 453 477
391 435 488
464 462 440
513 512 516
1037 1024 1025
497 520 454
521 474 522
26 523 36
327 477 489
445 524 446
525 526 527
334 439 441
331 481 326
391 488 395
507 416 502
131 436 181
327 489 331
509 528 432
406 1020 399
311 437 324
529 530 511
469 531 461
532 508 432
36 515 37
413 487 405
334 441 343
444 446 23
500 499 533
534 535 276
536 499 498
1026 518 537
495 505 493
489 451 481
114 459 193
457 428 504
179 415 180
454 520 452
538 472 525
326 427 986
342 476 335
375 495 388
539 499 540
458 526 525
399 435 391
469 470 541
497 496 532
164 457 157
1027 474 521
37 444 23
324 439 334
1022 462 464
268 536 260
259 429 242
268 535 536
542 502 472
543 496 476
544 455 545
546 547 1028
46 548 26
27 510 49
335 477 327
549 525 527
533 499 539
545 1040 551
406 486 1020
552 469 553
554 516 555
429 556 422
481 451 1021
557 558 559
444 560 445
561 562 563
564 565 566
413 1029 487
529 511 567
568 569 534
570 571 572
569 540 534
475 1035 185
487 486 405
432 528 429
257 509 267
275 534 276
495 568 388
342 543 476
36 523 514
552 471 469
276 535 268
1030 573 450
522 465 574
575 576 1032
549 538 525
578 500 579
571 580 581
478 556 429
455 1040 545
575 1032 582
547 503 1028
583 494 584
461 467 475
341 543 342
388 568 398
543 508 496
585 1031 587
395 482 390
538 542 472
581 588 589
590 500 578
530 512 511
469 541 553
447 473 415
429 528 242
450 591 448
592 560 515
472 593 525
588 594 589
595 1024 1037
419 473 447
586 552 596
470 463 541
264 478 259
581 597 571
441 598 343
533 539 583
542 507 502
423 468 599
1032 1036 582
601 527 602
557 598 558
1027 521 131
433 440 603
586 596 1033
604 524 445
1019 471 586
605 433 603
584 494 493
574 465 585
423 599 592
440 501 603
606 549 527
1034 1024 595
468 590 599
607 575 608
551 1029 413
113 605 609
610 589 608
611 612 547
257 528 509
595 450 1034
575 582 610
185 1035 130
1036 613 582
418 526 458
552 553 614
158 425 46
49 490 204
605 603 609
615 581 589
611 448 616
468 480 590
579 533 583
575 610 608
259 478 429
601 606 527
585 465 1031
547 617 611
615 597 581
610 615 589
614 616 596
606 529 549
423 592 618
488 482 395
595 1037 1038
477 453 489
521 522 420
181 447 179
193 475 185
600 595 1038
607 608 601
576 1039 1032
620 602 621
549 622 538
607 601 602
521 436 131
551 1040 1029
552 614 596
623 605 167
473 593 472
581 580 588
614 611 616
624 497 421
421 423 618
343 598 557
532 432 430
585 587 620
497 532 430
527 526 602
621 526 418
457 456 428
521 420 436
625 626 597
620 607 602
534 540 535
522 574 420
525 593 458
445 578 579
604 445 579
113 609 114
180 417 164
46 627 548
510 628 49
574 418 420
574 585 621
390 505 375
607 576 575
549 529 622
267 629 277
285 630 275
277 629 341
398 630 285
611 449 448
613 631 582
582 631 610
536 479 260
539 494 583
589 594 608
585 620 621
463 485 541
624 421 618
574 621 418
587 576 620
602 526 621
610 631 615
497 430 421
375 505 495
615 625 597
608 594 601
618 514 632
620 576 607
601 594 606
623 433 605
447 415 179
494 569 495
565 1041 566
428 426 504
157 504 158
204 623 167
167 605 113
604 579 583
471 531 469
604 583 584
554 513 516
609 459 114
493 483 633
616 619 596
634 584 633
517 519 635
596 619 1033
538 443 542
567 511 558
558 513 559
588 530 594
584 493 633
624 520 497
622 443 538
434 491 488
631 625 615
587 1039 576
599 560 592
634 604 584
624 618 632
636 624 632
592 514 618
417 457 164
636 632 548
561 626 562
627 452 636
634 633 628
544 1041 455
450 573 1034
517 635 613
598 567 558
522 466 465
586 471 552
446 524 510
458 593 419
516 637 555
260 479 264
445 560 578
480 498 590
636 520 624
559 513 554
540 499 535
541 503 553
510 634 628
627 636 548
571 637 580
511 513 558
46 424 627
628 492 49
633 638 628
443 639 441
529 567 622
623 1017 433
626 640 597
476 496 454
594 530 606
570 637 571
616 641 619
603 460 609
588 512 530
452 520 636
485 503 541
577 641 600
515 560 444
566 1041 544
606 530 529
571 640 572
590 578 599
498 479 536
595 591 450
419 593 473
482 638 483
535 499 536
628 638 492
46 1015 424
492 1042 49
495 569 568
474 466 522
619 641 577
1043 1026 537
537 518 564
546 617 547
642 626 561
635 519 562
456 484 428
614 612 611
514 523 632
493 505 483
426 425 504
623 490 1017
600 591 595
449 550 1030
37 515 444
568 630 398
341 629 543
562 626 625
580 637 516
597 640 571
611 617 449
592 515 514
580 512 588
405 486 406
562 519 563
416 431 502
275 630 534
509 629 267
503 612 553
564 518 565
448 641 616
631 635 625
470 501 463
443 442 542
634 524 604
555 637 570
473 431 415
543 629 509
534 630 568
498 500 590
547 612 503
483 638 633
598 639 567
643 451 489
516 512 580
609 460 459
572 640 642
641 591 600
622 639 443
482 491 638
242 528 257
480 479 498
625 635 562
510 524 634
489 453 643
548 523 26
613 635 631
539 540 569
579 500 533
539 569 494
509 508 543
542 442 507
441 639 598
484 506 437
632 523 548
422 556 468
567 639 622
578 560 599
468 556 480
485 462 1022
204 490 623
504 425 158
448 591 641
627 643 452
550 617 546
642 640 626
449 617 550
553 612 614
488 491 482
480 556 478
461 531 467
638 491 492
603 501 460
467 531 471
463 462 485
456 506 484
424 643 627
496 508 532
460 501 470
424 451 643
506 438 437
507 438 506
643 453 452
442 438 507
439 438 442
644 645 646
647 648 649
1044 651 652
653 1045 650
645 654 646
647 655 648
656 657 1046
659 1047 1058
662 663 652
664 665 666
657 1048 1046
659 1049 1047
650 669 670
670 653 650
652 651 662
1054 1050 1051
1051 1052 1054
671 675 1053
676 1050 1054
677 1055 673
673 678 677
670 669 677
677 678 670
1053 675 664
664 1056 1053
666 1056 664
1057 658 680
321 1057 680
681 659 1058
658 648 680
681 645 659
658 682 648
645 683 659
681 1058 386
321 680 322
404 681 386
340 656 994
386 1058 1004
572 684 570
570 684 685
686 684 572
686 1059 1073
689 1060 1059
689 1059 686
691 1061 1060
689 691 1060
1065 694 1062
690 677 1063
1064 1061 691
1065 1066 694
1066 696 694
694 671 1062
697 696 1066
537 695 693
554 698 559
554 699 698
700 670 701
1071 652 1067
704 673 705
561 691 689
706 676 707
1068 1069 703
1068 699 555
545 708 544
561 689 642
709 666 710
1068 703 699
537 693 1043
570 685 555
555 699 554
566 1070 564
711 662 712
564 695 537
1070 695 564
563 691 561
1064 691 563
689 686 642
642 686 572
1071 688 1044
1071 1044 652
713 664 696
1073 684 686
685 684 702
566 714 1072
544 714 566
708 714 544
702 684 1073
697 713 696
1072 714 1074
683 715 666
662 716 682
551 660 545
559 657 557
703 717 699
714 1075 1074
652 663 1067
713 665 664
387 719 413
545 660 708
698 657 559
413 719 551
699 717 698
708 1075 714
322 655 346
408 654 404
343 720 340
646 654 408
346 655 647
557 720 343
666 665 683
682 663 662
648 655 680
681 654 645
664 675 696
688 1076 1044
700 653 670
690 1055 677
677 669 1063
694 675 671
671 674 1062
662 651 712
706 1050 676
673 672 705
704 678 673
670 678 701
676 679 707
709 1056 666
658 667 682
711 716 662
666 715 710
683 1049 659
644 715 645
648 716 649
682 667 1077
718 1049 683
660 668 708
698 1048 657
710 715 644
649 716 711
645 715 683
682 716 648
1067 663 1077
718 665 713
721 653 700
721 1045 653
687 1076 688
692 1055 690
696 675 694
712 1045 721
1078 1050 706
701 678 704
707 679 709
661 719 387
680 655 322
404 654 681
340 720 656
657 720 557
1077 663 682
683 665 718
551 719 660
656 720 657
660 719 661
717 1048 698
708 668 1075
722 723 724
1097 726 727
728 729 730
727 726 731
732 733 734
735 728 736
737 734 738
739 723 740
735 729 728
740 741 739
728 742 736
707 743 706
744 745 746
747 742 728
748 749 750
731 751 727
734 752 732
753 754 755
756 757 758
740 723 722
755 759 753
1097 727 1079
761 1086 763
1080 765 766
372 737 767
329 1080 766
735 768 729
724 723 769
770 743 707
771 758 772
773 774 775
776 734 737
777 768 735
261 774 773
746 745 778
323 779 780
767 781 377
330 782 783
738 784 737
761 1081 1086
767 785 781
392 786 776
787 788 789
758 790 791
771 772 379
792 793 794
795 796 797
1082 796 795
169 799 800
730 729 801
737 784 767
1083 803 804
805 747 799
806 807 808
160 760 809
810 811 812
780 813 323
811 814 812
741 815 816
28 750 817
818 819 35
776 737 385
805 820 747
38 750 28
821 822 782
758 757 772
783 764 991
706 743 823
753 824 1087
826 822 821
782 827 783
791 828 758
824 759 829
830 831 832
25 833 35
834 803 1083
393 772 786
749 835 750
378 781 836
821 782 339
329 766 328
392 776 385
830 832 837
393 786 392
816 838 741
330 783 991
372 767 377
839 815 741
35 819 39
378 836 408
346 821 339
748 750 38
794 793 840
841 842 263
843 793 792
799 747 800
1084 754 753
789 813 787
786 752 776
844 845 846
1079 738 1085
847 845 777
777 735 848
753 759 824
758 828 756
810 812 763
385 737 372
829 849 824
308 789 313
394 771 379
315 1080 329
850 793 851
168 799 169
846 845 847
791 790 839
190 760 160
39 748 38
377 781 378
339 782 330
847 777 852
254 739 239
246 843 262
246 842 843
763 1086 1094
824 726 1090
187 810 763
854 790 771
644 855 710
47 856 25
28 817 48
747 728 800
379 772 393
840 793 850
712 808 711
739 857 723
776 752 734
649 858 647
748 859 749
705 860 704
785 751 731
1084 753 1087
801 811 810
709 770 707
836 837 408
861 862 841
863 829 864
865 731 829
700 746 721
862 851 841
812 814 866
1088 1101 797
741 838 739
244 816 245
272 841 263
188 762 825
783 820 764
789 861 313
394 854 771
35 833 818
801 810 186
808 807 869
263 842 246
770 870 871
871 1089 798
798 743 871
797 796 1088
808 745 806
871 743 770
746 872 744
873 794 874
875 831 876
1087 824 1090
777 848 852
1091 1100 879
783 742 820
805 1099 820
773 857 739
1098 880 881
735 736 848
844 814 845
192 730 801
825 853 216
882 788 883
866 814 844
313 861 314
403 854 394
854 815 790
795 884 1082
860 1092 1082
328 779 323
781 885 836
886 794 873
887 1098 881
888 867 889
811 768 814
739 838 239
890 859 819
800 728 730
800 730 191
189 853 725
261 773 254
891 755 1093
346 893 821
840 850 882
894 895 860
724 769 896
846 847 897
858 893 647
187 763 1094
812 761 763
898 835 749
829 759 864
847 852 899
883 788 787
863 865 829
860 884 894
724 896 890
867 871 889
900 901 902
903 864 755
1082 884 860
769 886 896
408 837 646
876 830 904
244 838 816
891 903 755
901 744 905
906 881 907
855 831 875
184 762 188
161 1095 47
48 878 205
902 797 887
783 827 742
879 908 1091
186 810 187
888 889 876
865 785 731
901 905 902
769 775 886
874 840 882
847 899 897
254 773 739
900 902 887
888 876 904
852 909 899
724 890 910
766 779 328
900 887 881
772 757 786
192 801 186
188 825 216
804 888 904
899 911 897
912 863 864
866 844 913
846 906 907
914 791 722
848 826 852
801 729 811
864 759 755
722 724 910
846 897 906
647 893 346
839 741 740
844 846 907
791 839 740
906 900 881
1079 727 738
903 912 864
903 804 912
836 885 915
913 1096 892
804 904 912
852 826 909
1090 726 1097
841 851 842
845 768 777
902 795 797
844 907 913
749 873 874
898 749 874
191 730 192
216 853 189
905 894 795
169 800 191
189 725 190
47 916 856
817 917 48
323 813 308
866 913 892
812 866 761
281 918 272
245 919 279
314 918 281
279 919 403
905 795 902
920 806 911
843 774 262
863 915 865
850 788 882
830 921 904
914 722 910
881 880 907
791 740 722
308 813 789
910 818 922
900 923 901
804 803 888
644 832 855
866 892 761
788 862 789
824 849 726
907 880 913
738 734 1085
855 924 710
913 880 1096
205 925 168
160 809 161
755 754 1093
898 874 882
1098 802 880
898 882 883
787 780 926
927 883 926
808 869 711
923 928 901
649 869 858
911 923 897
712 778 808
928 745 744
820 1099 764
883 787 926
897 923 906
705 1092 860
899 920 911
911 928 923
914 828 791
814 768 845
906 923 900
709 924 770
909 920 899
863 921 915
896 859 890
912 921 863
927 898 883
914 910 922
929 914 922
904 921 912
890 818 910
806 745 928
725 760 190
785 885 781
929 922 856
746 778 721
927 926 917
916 756 929
700 930 746
731 849 829
925 799 168
750 835 817
903 1083 804
262 774 261
749 859 873
860 895 704
775 792 886
929 828 914
851 793 842
916 929 856
817 927 917
646 832 644
901 928 744
891 1083 903
710 924 709
711 869 649
917 879 48
47 732 916
926 931 917
889 875 876
771 790 758
867 1089 871
706 823 1078
925 877 805
721 778 712
880 802 1096
756 828 929
823 743 798
701 930 700
819 859 748
886 873 896
836 932 837
792 774 843
729 768 811
837 832 646
837 932 830
848 822 826
779 931 780
842 793 843
806 928 911
820 742 747
917 931 879
47 733 732
879 1100 48
789 862 861
930 895 894
727 784 738
744 872 905
818 833 922
787 813 780
734 733 1085
925 805 799
39 819 748
861 918 314
403 919 854
736 822 848
887 1101 1098
890 819 818
894 872 930
888 803 867
905 872 894
767 751 785
858 933 893
272 918 841
816 919 245
704 895 701
894 884 795
933 934 893
924 870 770
1091 908 766
927 835 898
778 745 808
854 919 816
841 918 861
792 794 886
766 765 1091
797 1101 887
780 931 926
875 870 924
865 885 785
935 752 786
779 908 931
915 932 836
239 838 244
775 774 792
817 835 927
786 757 935
856 833 25
925 878 877
850 851 862
920 807 806
830 932 921
874 794 840
850 862 788
816 815 854
892 1081 761
701 895 930
784 751 767
921 932 915
922 833 856
723 857 769
736 827 822
869 807 858
873 859 896
769 857 775
742 827 736
893 934 821
205 878 925
809 1095 161
834 868 803
916 935 756
871 870 889
876 831 830
930 872 746
766 908 779
775 857 773
832 831 855
909 934 933
931 908 879
826 934 909
915 885 865
821 934 826
855 875 924
807 933 858
822 827 782
909 933 920
920 933 807
732 935 916
790 815 839
732 752 935
727 751 784
877 1099 805
935 757 756
726 849 731
889 870 875
803 868 867
